17-29,,30-39,,40-49,,60-69,,70-84,,50-59,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
2021/01/05,16.842955037972715,2021/01/02,12.436959450225501,2021/01/05,12.46902637590054,2021/01/05,9.452710082932683,2021/01/04,4.7832256301126534,2021/01/05,11.473939040216848
2021/01/19,18.699630034556137,2021/01/12,13.315593213720945,2021/01/18,13.488171577353754,2021/01/19,9.339294430018938,2021/01/18,5.224164721041575,2021/01/20,12.79824681283067
2021/02/02,19.35272642080396,2021/01/20,13.98258526776128,2021/02/03,13.59778215966108,2021/02/03,9.650801708004806,2021/02/01,5.435680677846989,2021/02/03,14.250115047678548
2021/02/16,19.84682430057984,2021/02/13,15.26526229476191,2021/02/17,13.926147478573242,2021/02/17,9.907337113404935,2021/02/16,5.083372054430811,2021/02/18,15.061316647468814
2021/03/02,20.931994381416345,2021/02/24,16.547939321762556,2021/03/04,14.922787528552746,2021/03/03,10.497368545825239,2021/03/03,5.460479100368985,2021/03/04,16.031020479881306
2021/03/17,21.70796576181087,2021/03/16,17.266238456882917,2021/03/18,15.28358625229049,2021/03/18,10.60486909665957,2021/03/17,5.618248374690083,2021/03/18,16.29653462447044
2021/03/31,21.820299588399124,2021/03/27,17.406166859828446,2021/04/01,15.239608754221905,2021/04/01,10.387424800653761,2021/03/31,6.026139669276304,2021/04/02,16.249548139691882
2021/04/09,20.91109349680795,2021/04/03,17.462138221006654,2021/04/15,15.538900060522053,2021/04/16,10.929813943499752,2021/04/14,6.166806583237346,2021/04/16,16.10083475806519
2021/04/23,20.92956404599677,2021/04/10,17.75365572714317,2021/05/04,16.639559109405468,2021/04/30,11.047087271682656,2021/04/30,6.349981863935355,2021/05/01,15.840634561159348
2021/05/07,21.392182893734997,2021/04/18,17.832948488812292,2021/05/18,16.707561351789323,2021/05/14,11.116718310291262,2021/05/14,6.426942485555372,2021/05/15,15.620747070816378
2021/05/21,21.537552956795068,2021/04/26,18.126798134997898,2021/06/03,16.655080579312028,2021/05/29,11.13369208147563,2021/05/28,7.088196247632808,2021/05/30,15.679383734907844
2021/06/05,21.593135627965097,2021/05/03,18.224748017059767,2021/06/17,16.722987010153247,2021/06/12,11.153366225348393,2021/06/12,6.937312923667221,2021/06/13,15.589307017372604
2021/06/18,22.366732394916156,2021/05/11,18.217751596912493,2021/06/30,17.335097960437693,2021/06/27,11.05075206318837,2021/06/26,7.074453279486377,2021/06/28,16.015628355557297
2021/07/02,23.73177639408287,2021/05/19,17.96658011362527,2021/07/15,18.031034634232057,2021/07/11,10.90049561145402,2021/07/10,7.234421428710888,2021/07/12,16.754450323109666
2021/07/14,25.132546842470518,2021/05/26,17.797266746061183,2021/07/29,18.161412003094952,2021/07/26,11.552828499471502,2021/07/25,7.74620956248414,2021/07/26,16.889536466847986
2021/07/29,26.123306567897657,2021/06/03,17.916905530579612,2021/08/14,18.647002550654207,2021/08/09,11.699420159700125,2021/08/08,7.483688330958017,2021/08/10,17.328539912480096
2021/08/10,26.85809726479374,2021/06/10,18.282118662267436,2021/08/27,19.394199644676988,2021/08/23,12.197831804477516,2021/08/23,7.4999355733000215,2021/08/26,17.616409285254093
2021/08/26,27.963764862068288,2021/06/18,18.357679999858007,2021/09/11,20.07530114601434,2021/09/07,12.688913866243482,2021/09/07,7.872992060205576,2021/09/10,18.809298920364697
2021/09/10,28.57265919194448,2021/06/25,18.392662100594393,2021/09/23,20.832080591944703,2021/09/17,13.01031608129479,2021/09/21,8.392678784092467,2021/09/24,19.52888073251205
2021/09/23,29.560077110509745,2021/07/03,18.567572604276307,2021/10/05,22.463004431776028,2021/09/29,14.898783144190304,2021/10/05,8.550448058413522,2021/10/08,20.30415773135813
2021/10/06,30.997879065937084,2021/07/10,19.06431843473291,2021/10/19,23.752308623416184,2021/10/13,15.470490619082014,2021/10/20,9.00309803031034,2021/10/22,21.04946059336271
2021/10/21,31.335472095746205,2021/07/18,19.382655551433984,2021/11/02,25.457670486714434,2021/10/28,15.774668314056456,2021/11/04,9.760552569412837,2021/11/06,21.876546171073812
2021/11/03,32.08543370883037,2021/07/25,19.52888073251205,2021/11/15,26.775685265808946,2021/11/11,16.372029329488186,2021/11/18,9.591554245329078,2021/11/21,22.753530778391678
2021/11/17,33.082887500149575,2021/08/02,19.92907596493626,2021/11/24,27.83689644339769,2021/11/25,17.52277386228306,2021/12/03,10.477501518188959,2021/12/03,24.170705653652107
2021/12/01,34.263134261338124,2021/08/10,20.52167275141055,2021/12/06,30.02919554479608,2021/12/10,18.84942838735229,2021/12/16,10.94392339079674,2021/12/15,26.004119404150643
2021/12/14,35.94568076151801,2021/08/17,21.26819078112493,2021/12/16,31.524942717031898,2021/12/24,19.271265178036558,2021/12/29,12.89444758985573,2021/12/29,28.42552859178852
2021/12/26,37.936349697529195,2021/08/25,21.89157181624725,2021/12/24,33.65115479978915,2022/01/06,21.02191679194081,2022/01/10,14.405868686671482,2022/01/09,30.939575564709784
2022/01/01,39.625497912407575,2021/09/01,22.023804157030767,2021/12/31,35.45693083980115,2022/01/15,22.307159172995455,2022/01/24,17.392795923546984,2022/01/15,32.14426582846879
2022/01/10,42.78476036247469,2021/09/09,22.023804157030767,2022/01/07,37.77038045221408,2022/01/23,24.199690822833674,2022/02/07,19.49667128716736,2022/01/19,33.274047753850965
2022/01/14,44.7761624759731,2021/09/17,22.72274652974366,2022/01/14,39.7162931219617,2022/02/02,26.1705823783214,2022/02/18,21.25108842076493,2022/01/27,35.73190125701791
2022/01/23,47.57375880986315,2021/09/24,23.161422072977885,2022/01/21,42.17069561312743,2022/02/12,27.38006352406697,2022/02/25,23.152300814119215,2022/02/06,37.37091817809102
2022/01/30,49.82168083961099,2021/10/02,23.61898795060975,2022/01/30,44.367371641653655,2022/02/20,29.002733253938814,2022/03/04,25.02386911618281,2022/02/13,39.315456551024
2022/02/06,51.471936454634964,2021/10/09,23.807891294586213,2022/02/04,45.499792216919964,2022/02/26,31.173022783623907,2022/03/10,27.037387009234493,2022/02/20,41.01115558071884
2022/02/15,53.39290443167328,2021/10/17,24.223478651334418,2022/02/12,47.374943870678045,2022/03/05,32.873852521426755,2022/03/17,28.42552859178852,2022/02/27,43.24472384373597
2022/02/19,55.27516545947951,2021/10/27,23.953261357646284,2022/02/18,49.871888483239296,2022/03/13,35.22604897494104,2022/03/25,30.44343609066594,2022/03/06,45.2972208664415
2022/02/27,58.075191105920695,2021/11/03,24.199690822833674,2022/02/25,52.38807325120555,2022/03/20,37.9224692997013,2022/04/06,32.19659905117042,2022/03/13,47.498935983288106
2022/03/05,60.442979581477466,2021/11/10,24.318629965337365,2022/03/04,55.125733585833935,2022/03/28,40.02290226514666,2022/04/19,33.84868706194725,2022/03/21,49.71796723999922
2022/03/16,64.25733249226307,2021/11/18,24.82936863608853,2022/03/11,57.48813963022978,2022/04/07,41.97965218769416,2022/04/29,35.557212861912106,2022/03/27,51.63343160032018
2022/03/09,61.98035961812538,2021/11/26,25.99699342066731,2022/03/19,59.43780871127077,2022/04/16,44.533386696862614,2022/05/06,37.1391811952129,2022/04/03,53.55459674742781
2022/03/29,67.30346928017805,2021/12/02,27.46352082153804,2022/03/25,61.242392768591,2022/04/27,46.82721827704303,2022/05/12,38.481716483473576,2022/04/10,55.33039183147537
2022/03/23,64.90486323968685,2021/12/09,28.33317584584448,2022/04/03,63.43953300404131,2022/05/06,49.50574249553184,2022/05/23,40.39771529255579,2022/04/18,57.0471837722809
2022/04/08,69.41405602460638,2021/12/17,29.61072216473712,2022/04/09,64.4194982526698,2022/05/18,52.546607631121695,2022/06/02,42.85564514554577,2022/04/28,59.11998984791394
2022/04/17,71.32291265478825,2021/12/21,30.606079537689624,2022/04/18,66.7594538861014,2022/05/29,54.435420131302685,2022/06/09,44.099841861736394,2022/05/08,60.74043849202476
2022/04/27,73.02588187759267,2021/12/26,31.73483532145019,2022/04/30,68.51773686573867,2022/06/09,56.01975947365339,2022/06/17,45.53002674684211,2022/05/15,62.28392651451553
2022/05/10,74.83486344547238,2022/01/02,33.5511059916831,2022/05/11,69.70574011217496,2022/06/19,57.467668623132205,2022/06/24,47.17313601842994,2022/05/26,63.936779630887415
2022/05/24,76.13487394581087,2022/01/08,35.523008141192086,2022/05/24,71.83131918549032,2022/06/29,59.95800550555436,2022/07/02,49.089455496768906,2022/06/09,65.82839069912731
2022/06/09,77.74303508326663,2022/01/15,37.13444750618469,2022/06/07,73.23585053005603,2022/07/13,61.23274215095929,2022/07/12,51.09245693840622,2022/06/20,67.20668546814073
2022/06/22,79.145143593448,2022/01/22,40.326206048300506,2022/06/21,74.20213389039651,2022/07/27,63.21539435555171,2022/07/26,53.00482712168837,2022/07/01,69.12807735108646
2022/07/07,80.6122151603302,2022/01/29,42.517018410417606,2022/07/06,75.83711954081335,2022/08/10,64.95103961265887,2022/08/09,54.932386901342895,2022/07/14,71.08309091973994
2022/07/19,82.21245192401554,2022/02/05,44.022881240116355,2022/07/16,77.03385720700494,2022/08/25,67.1440508496794,2022/08/23,56.041564983112394,2022/07/28,73.96596379568824
2022/08/02,84.15516972310374,2022/02/12,45.659577126569175,2022/07/27,79.12175360060269,2022/09/08,68.92513952145744,2022/09/06,57.761106715191495,2022/08/11,75.7691376583823
2022/08/17,85.62152242244392,2022/02/18,48.26711700279182,2022/08/09,80.62791823666075,2022/09/22,70.21514613146951,2022/09/20,59.50051736592413,2022/08/26,77.74918593216803
2022/08/30,86.29367599965597,2022/02/27,51.600652076296825,2022/08/23,81.68085355615861,2022/10/06,72.45066894995635,2022/10/04,61.65808701509147,2022/09/10,79.15723740541686
2022/09/14,87.26961988247008,2022/03/05,53.63269752640518,2022/09/06,83.19327229066204,2022/10/20,73.75533472599129,2022/10/14,62.749965834325764,2022/09/24,79.9622088596474
2022/09/29,88.35396850295103,2022/03/12,55.981279162843364,2022/09/21,84.3207453973956,2022/11/03,75.13696112364627,2022/10/24,65.04595771265691,2022/10/08,80.46923276446324
2022/10/13,88.24645665054491,2022/03/18,58.33435016887605,2022/10/06,84.80345951855683,2022/11/18,75.99085754447813,2022/11/08,66.79242374889411,2022/10/23,81.08797173034498
