age,date,percentN
17-29,05/01/2021,16.84295504
17-29,19/01/2021,18.69963003
17-29,02/02/2021,19.35272642
17-29,16/02/2021,19.8468243
17-29,02/03/2021,20.93199438
17-29,17/03/2021,21.70796576
17-29,31/03/2021,21.82029959
17-29,09/04/2021,20.9110935
17-29,23/04/2021,20.92956405
17-29,07/05/2021,21.39218289
17-29,21/05/2021,21.53755296
17-29,05/06/2021,21.59313563
17-29,18/06/2021,22.36673239
17-29,02/07/2021,23.73177639
17-29,14/07/2021,25.13254684
17-29,29/07/2021,26.12330657
17-29,10/08/2021,26.85809726
17-29,26/08/2021,27.96376486
17-29,10/09/2021,28.57265919
17-29,23/09/2021,29.56007711
17-29,06/10/2021,30.99787907
17-29,21/10/2021,31.3354721
17-29,03/11/2021,32.08543371
17-29,17/11/2021,33.0828875
17-29,01/12/2021,34.26313426
17-29,14/12/2021,35.94568076
17-29,26/12/2021,37.9363497
17-29,01/01/2022,39.62549791
17-29,10/01/2022,42.78476036
17-29,14/01/2022,44.77616248
17-29,23/01/2022,47.57375881
17-29,30/01/2022,49.82168084
17-29,06/02/2022,51.47193645
17-29,15/02/2022,53.39290443
17-29,19/02/2022,55.27516546
17-29,27/02/2022,58.07519111
17-29,05/03/2022,60.44297958
17-29,16/03/2022,64.25733249
17-29,09/03/2022,61.98035962
17-29,29/03/2022,67.30346928
17-29,23/03/2022,64.90486324
17-29,08/04/2022,69.41405602
17-29,17/04/2022,71.32291265
17-29,27/04/2022,73.02588188
17-29,10/05/2022,74.83486345
17-29,24/05/2022,76.13487395
17-29,09/06/2022,77.74303508
17-29,22/06/2022,79.14514359
17-29,07/07/2022,80.61221516
17-29,19/07/2022,82.21245192
17-29,02/08/2022,84.15516972
17-29,17/08/2022,85.62152242
17-29,30/08/2022,86.293676
17-29,14/09/2022,87.26961988
17-29,29/09/2022,88.3539685
17-29,13/10/2022,88.24645665
17-29,28/10/2022,88.80246316
17-29,11/11/2022,89.17384555
17-29,26/11/2022,89.38933529
17-29,05/12/2022,89.02313805
30-39,02/01/2021,12.43695945
30-39,12/01/2021,13.31559321
30-39,20/01/2021,13.98258527
30-39,13/02/2021,15.26526229
30-39,24/02/2021,16.54793932
30-39,16/03/2021,17.26623846
30-39,27/03/2021,17.40616686
30-39,03/04/2021,17.46213822
30-39,10/04/2021,17.75365573
30-39,18/04/2021,17.83294849
30-39,26/04/2021,18.12679813
30-39,03/05/2021,18.22474802
30-39,11/05/2021,18.2177516
30-39,19/05/2021,17.96658011
30-39,26/05/2021,17.79726675
30-39,03/06/2021,17.91690553
30-39,10/06/2021,18.28211866
30-39,18/06/2021,18.35768
30-39,25/06/2021,18.3926621
30-39,03/07/2021,18.5675726
30-39,10/07/2021,19.06431843
30-39,18/07/2021,19.38265555
30-39,25/07/2021,19.52888073
30-39,02/08/2021,19.92907596
30-39,10/08/2021,20.52167275
30-39,17/08/2021,21.26819078
30-39,25/08/2021,21.89157182
30-39,01/09/2021,22.02380416
30-39,09/09/2021,22.02380416
30-39,17/09/2021,22.72274653
30-39,24/09/2021,23.16142207
30-39,02/10/2021,23.61898795
30-39,09/10/2021,23.80789129
30-39,17/10/2021,24.22347865
30-39,27/10/2021,23.95326136
30-39,03/11/2021,24.19969082
30-39,10/11/2021,24.31862997
30-39,18/11/2021,24.82936864
30-39,26/11/2021,25.99699342
30-39,02/12/2021,27.46352082
30-39,09/12/2021,28.33317585
30-39,17/12/2021,29.61072216
30-39,21/12/2021,30.60607954
30-39,26/12/2021,31.73483532
30-39,02/01/2022,33.55110599
30-39,08/01/2022,35.52300814
